ID;TITLE;YEAR;KEY;PUBLISHED INTO;PUBLICATION TYPE;BIBTEX;TYPE OF WORK;ABSTRACT;CATEGORY;LLM APPROACH TYPE;BENCHMARK;LLMs USED;EVALUATION METRIC;TOOL
P01;A Survey of Testing Techniques Based on Large Language Models;2024;Fei2024;C: ICCMT;Conference;"@Inproceedings{Fei2024 ,
  author =       ""Qi, Fei and Hou, Yingnan and Lin, Ning and Bao, Shanshan and Xu, Nuo"",
  title =        ""A Survey of Testing Techniques Based on Large Language Models"",
  booktitle =    ""Proceedings of the 2024 International Conference on Computer and Multimedia Technology"",
  series =       ""ICCMT '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Sanming, China"",
  pages =        ""280–-284"",
  doi =          ""10.1145/3675249.3675298"",
  url =          ""https://doi.org/10.1145/3675249.3675298""
}";Survey;With the development of software testing technology, Large Language Model (LLM) driven testing method have gradually become an emerging trend in the field of software testing. This paper presents a comprehensive review of LLM-based testing techniques. The results of 19 studies using LLM to optimize testing techniques are analyzed from the perspective of software testing. This paper discusses in detail how to use LLM to optimize test techniques for generating automated test code and generating diverse input in software test tasks. It also summarizes the challenges and opportunities faced by this field. The above conclusions can identify the shortcomings of LLM-based software testing technology and the direction of future research.;Reflections;None;No Bmk-Ds;;No Eval.;
P02;Software Testing with Large Language Models: Survey, Landscape, and Vision;2024;WangTSE2024;J: TSE;Journal;"@article{WangTSE2024,
  title = ""Software testing with large language models: Survey, landscape, and vision"",
  author = ""Wang, Junjie and Huang, Yuchao and Chen, Chunyang and Liu, Zhe and Wang, Song and Wang, Qing"",
  journal = ""IEEE Transactions on Software Engineering"",
  volume = ""50"",
  number = ""4"",
  pages = ""911–-936"",
  year = ""2024"",
  publisher = ""IEEE Press"",
  doi = ""10.1109/TSE.2024.3368208"",
  url = ""https://doi.org/10.1109/TSE.2024.3368208""
}";Survey;"Pre-trained large language models (LLMs) have recently emerged as a breakthrough technology in natural language
processing and artificial intelligence, with the ability to handle large-scale datasets and exhibit remarkable performance across a wide
range of tasks. Meanwhile, software testing is a crucial undertaking that serves as a cornerstone for ensuring the quality and reliability
of software products. As the scope and complexity of software systems continue to grow, the need for more effective software testing
techniques becomes increasingly urgent, making it an area ripe for innovative approaches such as the use of LLMs. This paper provides
a comprehensive review of the utilization of LLMs in software testing. It analyzes 102 relevant studies that have used LLMs for software
testing, from both the software testing and LLMs perspectives. The paper presents a detailed discussion of the software testing tasks for
which LLMs are commonly used, among which test case preparation and program repair are the most representative. It also analyzes
the commonly used LLMs, the types of prompt engineering that are employed, as well as the accompanied techniques with these LLMs.
It also summarizes the key challenges and potential opportunities in this direction. This work can serve as a roadmap for future research
in this area, highlighting potential avenues for exploration, and identifying gaps in our current understanding of the use of LLMs in
software testing.";Reflections;None;No Bmk-Ds;;No Eval.;
P03;An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation;2023;Schafer2024;J: TSE;Journal;"@article{Schafer2024,
  title = ""An Empirical Evaluation of Using Large Language Models for Automated Unit Test Generation"",
  author = ""Schäfer, Max and Nadi, Sarah and Eghbali, Aryaz and Tip, Frank"",
  journal = ""IEEE Transactions on Software Engineering"",
  volume = ""50"",
  number = ""1"",
  pages = ""85--105"",
  year = ""2024"",
  publisher = ""IEEE Press"",
  doi = ""10.1109/TSE.2023.3334955"",
  url = ""https://doi.org/10.1109/TSE.2023.3334955""
}";Research Contribution;"Unit tests play a key role in ensuring the correctness of software. However, manually creating unit tests is a laborious task,
motivating the need for automation. Large Language Models (LLMs) have recently been applied to various aspects of software
development, including their suggested use for automated generation of unit tests, but while requiring additional training or few-shot
learning on examples of existing tests. This paper presents a large-scale empirical evaluation on the effectiveness of LLMs for
automated unit test generation without requiring additional training or manual effort. Concretely, we consider an approach where the
LLM is provided with prompts that include the signature and implementation of a function under test, along with usage examples
extracted from documentation. Furthermore, if a generated test fails, our approach attempts to generate a new test that fixes the
problem by re-prompting the model with the failing test and error message. We implement our approach in TESTPILOT, an adaptive
LLM-based test generation tool for JavaScript that automatically generates unit tests for the methods in a given project’s API.
We evaluate TESTPILOT using OpenAI’s gpt3.5-turbo LLM on 25 npm packages with a total of 1,684 API functions. The generated
tests achieve a median statement coverage of 70.2% and branch coverage of 52.8%. In contrast, the state-of-the feedback-directed
JavaScript test generation technique, Nessie, achieves only 51.3% statement coverage and 25.6% branch coverage. Furthermore,
experiments with excluding parts of the information included in the prompts show that all components contribute towards the
generation of effective test suites. We also find that 92.8% of TESTPILOT’s generated tests have ≤ 50% similarity with existing tests (as
measured by normalized edit distance), with none of them being exact copies. Finally, we run TESTPILOT with two additional LLMs,
OpenAI’s older code-cushman-002 LLM and StarCoder, an LLM for which the training process is publicly documented. Overall, we
observed similar results with the former (68.2% median statement coverage), and somewhat worse results with the latter (54.0%
median statement coverage), suggesting that the effectiveness of the approach is influenced by the size and training set of the LLM,
but does not fundamentally depend on the specific model.";Unit Test Generation;LLM-Pure-Prompting;Custom;GPT-Family;Test Coverage, % Pass, Other;TestPilot
P04;Are We Testing or Being Tested? Exploring the Practical Applications of Large Language Models in Software Testing;2024;Santos2024;C: ICST;Conference;"@Inproceedings{Santos2024 ,
  author =       ""Santos, Robson and Santos, Italo and Magalhaes, Cleyton and de Souza Santos, Ronnie"",
  title =        ""Are We Testing or Being Tested? Exploring the Practical Applications of Large Language Models in Software Testing"",
  booktitle =    ""2024 IEEE Conference on Software Testing, Verification and Validation (ICST)"",
  series =       ""ICST '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""IEEE Computer Society"",
  address =      ""Toronto, Canada"",
  pages =        ""353--360"",
  doi =          ""10.1109/ICST60714.2024.00039"",
  url =          ""https://doi.org/10.1109/ICST60714.2024.00039""
}";Survey;"A Large Language Model (LLM) represents a
cutting-edge artificial intelligence model that generates coherent
content, including grammatically precise sentences, human-like
paragraphs, and syntactically accurate code snippets. LLMs can
play a pivotal role in software development, including software
testing. LLMs go beyond traditional roles such as requirement
analysis and documentation and can support test case generation,
making them valuable tools that significantly enhance testing
practices within the field. Hence, we explore the practical
application of LLMs in software testing within an industrial
setting, focusing on their current use by professional testers. In
this context, rather than relying on existing data, we conducted
a cross-sectional survey and collected data within real working
contexts—specifically, engaging with practitioners in industrial
settings. We applied quantitative and qualitative techniques to
analyze and synthesize our collected data. Our findings demonstrate
that LLMs effectively enhance testing documents and
significantly assist testing professionals in programming tasks
like debugging and test case automation. LLMs can support
individuals engaged in manual testing who need to code. However,
it is crucial to emphasize that, at this early stage, software testing
professionals should use LLMs with caution while well-defined
methods and guidelines are being built for the secure adoption
of these tools.";Reflections;None;No Bmk-Ds;;Other;-
P05;Automated Unit Test Improvement using Large Language Models at Meta;2024;Alshahwan2024;C: FSE;Conference;"@Inproceedings{Alshahwan2024 ,
  author =       ""Alshahwan, Nadia and Chheda, Jubin and Finogenova, Anastasia and Gokkaya, Beliz and Harman, Mark and Harper, Inna and Marginean, Alexandru and Sengupta, Shubho and Wang, Eddy"",
  title =        ""Automated Unit Test Improvement using Large Language Models at Meta"",
  booktitle =    ""Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering"",
  series =       ""FSE 2024"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Porto de Galinhas, Brazil"",
  pages =        ""185–-196"",
  doi =          ""https://doi.org/10.1145/3663529.3663839"",
  url =          ""10.1145/3663529.3663839""
}";Research Contribution;"This paper describes Meta’s TestGen-LLM tool, which uses LLMs
to automatically improve existing human-written tests. TestGen-
LLM verifies that its generated test classes successfully clear a set
of filters that assure measurable improvement over the original
test suite, thereby eliminating problems due to LLM hallucination.
We describe the deployment of TestGen-LLM at Meta test-a-thons
for the Instagram and Facebook platforms. In an evaluation on
Reels and Stories products for Instagram, 75% of TestGen-LLM’s
test cases built correctly, 57% passed reliably, and 25% increased
coverage. During Meta’s Instagram and Facebook test-a-thons, it
improved 11.5% of all classes to which it was applied, with 73% of
its recommendations being accepted for production deployment
by Meta software engineers. We believe this is the first report on
industrial scale deployment of LLM-generated code backed by such
assurances of code improvement.";Test Augmentation or Improvement;LLM-Pure-Prompting;No Bmk-Ds;N/S;Test Coverage, % Build, % Pass;TestGen-LLM
P07;Automatic Generation of Test Cases based on Bug Reports: a Feasibility Study with Large Language Models;2024;Plein2024;C: ICSE;Conference;"@Inproceedings{Plein2024 ,
  author =       ""Plein, Laura and Ou\'{e}draogo, Wendk\^{u}uni C. and Klein, Jacques and Bissyand\'{e}, Tegawend\'{e} F."",
  title =        ""Automatic Generation of Test Cases based on Bug Reports: a Feasibility Study with Large Language Models"",
  booktitle =    ""Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings"",
  series =       ""ICSE-Companion '24"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Lisbon, Portugal"",
  pages =        ""360-–361"",
  doi =          ""https://doi.org/10.1145/3639478.3643119"",
  url =          ""10.1145/3639478.3643119""
}";Survey;Software testing is a core discipline in software engineering where  a large array of research results has been produced, notably in the area of automatic test generation. Because existing approaches produce test cases that either can be qualified as simple (e.g., unit tests) or that require precise (and executable) specifications, most testing procedures still rely on test cases written by humans to form development project test suites. Such test suites, however, are incomplete: they only cover parts of the project or they are produced after the bug is fixed and therefore can only serve as regression tests. Yet, several research challenges, such as automatic program repair, and practitioner processes, such as continuous integration, build on the assumption that available test suites are sufficient. There is thus a need to break existing barriers in automatic test case generation. While prior work largely focused on random unit testing inputs, we propose to consider generating test cases that realistically represent complex user execution scenarios, which reveal buggy behaviour. Such scenarios are informally described in bug reports, which should therefore be considered as natural inputs for specifying bug-triggering test cases. In this work, we investigate the feasibility of performing this generation by leveraging large language models (LLMs) and using bug reports as inputs. Our experiments consider various settings, including the use of ChatGPT, as an online service for accessing an LLM, as well as CodeGPT, an existing code-related pre-trained LLM that was fine-tuned for our task. Our study is carried out on the Defects4J dataset. Overall, we experimentally show that bug reports associated to up to 50% of Defects4J bugs can prompt ChatGPT to generate an executable test case. We show that even new bug reports (i.e., previously-unseen data to mitigate data leakage threat to validity), can indeed be used as input for generating the executable test cases. Finally, we report experimental results which confirm that LLM-generated test cases are immediately useful in software engineering tasks such as fault localization as well as patch validation in automated program repair.;Unit Test Generation;LLM-Pure-Prompting;Defects4J;GPT-Family;Other;-
P08;Beyond Turing- Testing LLMs for Intelligence;2024;Savage2024;J: Com. ACM;Other;"@article{Savage2024,
  title = ""Beyond Turing: Testing LLMs for Intelligence"",
  author = ""Neil Savage"",
  journal = ""Communications of the ACM"",
  volume = ""67"",
  number = ""9"",
  pages = ""10--12"",
  year = ""2024"",
  publisher = ""Association for Computing Machinery"",
  doi = ""10.1145/3673427"",
  url = ""https://doi.org/10.1145/3673427""
}";Research Contribution;;Reflections;None;;;No Eval.;
P09;Can Large Language Models Write Good Property-Based Tests?;2024;Vikram2024;arXiv;arXiv;"@misc{Vikram2024,
  title = ""Can Large Language Models Write Good Property-Based Tests?"",
  author = ""Vasudev Vikram and Caroline Lemieux and Joshua Sunshine and Rohan Padhye"",
  archivePrefix = ""arXiv Preprint"",
  year = ""2024"",
  publisher = ""arXiv"",
  doi = ""10.48550/arXiv.2307.04346"",
  url = ""https://doi.org/10.48550/arXiv.2307.04346""
}";Research Contribution;"Property-based testing (PBT), while an established technique in the software testing research community, is still relatively underused in real-world software. Pain points in writing property-based tests include implementing diverse random input generators and thinking of meaningful properties to test. Developers, however, are more amenable to writing documentation; plenty of library API documentation is available and can be used as natural language specifications for PBTs. As large language models (LLMs) have recently shown promise in a variety of coding tasks, we investigate using modern LLMs to automatically synthesize PBTs using two prompting techniques. A key challenge is to rigorously evaluate the LLM-synthesized PBTs. We propose a methodology to do so considering several properties of the generated tests: (1) validity, (2) soundness, and (3) property coverage, a novel metric that measures the ability of the PBT to detect property violations through generation of property mutants. In our evaluation on 40 Python library API methods across three models (GPT-4, Gemini-1.5-Pro, Claude-3-Opus), we find that with the best model and prompting approach, a valid and sound PBT can be synthesized in 2.4 samples on average. We additionally find that our metric for determining soundness of a PBT is aligned with human judgment of property assertions, achieving a precision of 100% and recall of 97%. Finally, we evaluate the property coverage of LLMs across all API methods and find that the best model (GPT-4) is able to automatically synthesize correct PBTs for 21% of properties extractable from API documentation.";Unit Test Generation;LLM-Pure-Prompting;Custom;Claude 3, Gemini, GPT-Family;Test Coverage, Mutation Rate, % Build, Other;-
P10;exLong: Generating Exceptional Behavior Tests with Large Language Models;2025;ZhangICSE2025;C: ICSE;Conference;"@Inproceedings{ZhangICSE2025 ,
  author =       ""Jiyang Zhang and Yu Liu and Pengyu Nie and Junyi Jessy Li and Milos Gligoric"",
  title =        ""exLong: Generating Exceptional Behavior Tests with Large Language Models"",
  booktitle =    ""Proceedings of the 47th International Conference on Software Engineering"",
  series =       ""ICSE '25"",
  editor =       """",
  volume =       """",
  year =         ""2025"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Ottawa,Ontario,Canada"",
  pages =        ""-"",
  doi =          ""10.48550/arXiv.2405.14619"",
  url =          ""https://doi.org/10.48550/arXiv.2405.14619""
}";Research Contribution;"Many popular programming languages, including C#, Java, and Python, support exceptions. Exceptions are thrown during program execution if an unwanted event happens, e.g., a method is invoked with an illegal argument value. Software developers write exceptional behavior tests (EBTs) to check that their code detects unwanted events and throws appropriate exceptions. Prior research studies have shown the importance of EBTs, but those studies also highlighted that developers put most of their efforts on ""happy paths"", e.g., paths without unwanted events. To help developers fill the gap, we present the first framework, dubbed exLong, that automatically generates EBTs. exLong is a large language model instruction fine-tuned from CodeLlama and embeds reasoning about traces that lead to throw statements, conditional expressions that guard throw statements, and non-exceptional behavior tests that execute similar traces. We compare exLong with the state-of-the-art models for test generation (CAT-LM) and one of the strongest foundation models (GPT-4o), as well as with analysis-based tools for test generation (Randoop and EvoSuite). Our results show that exLong outperforms existing models and tools. Furthermore, we contributed several pull requests to open-source projects and 23 EBTs generated by exLong were already accepted.";Unit Test Generation;LLM-Pure-FineTune;CodeSearchNet;CodeLlama, GPT-Family;XMatch, BLEU, CodeBLEU, EditSim, %Run, % Build, Test Coverage;exLong
P11;ChatUniTest- A Framework for LLM-Based Test Generation;2024;ChenFSE2024;C: FSE;Conference;"@Inproceedings{ChenFSE2024 ,
  author =       ""Chen, Yinghao and Hu, Zehao and Zhi, Chen and Han, Junxiao and Deng, Shuiguang and Yin, Jianwei"",
  title =        ""ChatUniTest: A Framework for LLM-Based Test Generation"",
  booktitle =    ""Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering"",
  series =       ""FSE '24'"",
  editor =       """",
  volume =       """",
  year =         ""2024"",
  publisher =    ""Association for Computing Machinery"",
  address =      ""Porto de Galinhas, Brazil, Brazil"",
  pages =        ""572--576"",
  doi =          ""10.48550/arXiv.2305.04764"",
  url =          ""https://doi.org/10.48550/arXiv.2305.04764""
}";Research Contribution;Unit testing is an essential yet frequently arduous task. Various automated unit test generation tools have been introduced to mitigate this challenge. Notably, methods based on large language models (LLMs) have garnered considerable attention and exhibited promising results in recent years. Nevertheless, LLM-based tools encounter limitations in generating accurate unit tests. This paper presents ChatUniTest, an LLM-based automated unit test generation framework. ChatUniTest incorporates an adaptive focal context mechanism to encompass valuable context in prompts and adheres to a generation-validation-repair mechanism to rectify errors in generated unit tests. Subsequently, we have developed ChatUniTest Core, a common library that implements core workflow, complemented by the ChatUniTest Toolchain, a suite of seamlessly integrated tools enhancing the capabilities of ChatUniTest. Our effectiveness evaluation reveals that ChatUniTest outperforms TestSpark and EvoSuite in half of the evaluated projects, achieving the highest overall line coverage. Furthermore, insights from our user study affirm that ChatUniTest delivers substantial value to various stakeholders in the software testing domain. ChatUniTest is available at https: //github.com/ZJU-ACES-ISE/ChatUniTest, and the demo video is available at https://www.youtube.com/watch?v=GmfxQUqm2ZQ.;Unit Test Generation;LLM-Pure-Prompting;Apache-Commons;CodeLlama, GPT-Family;Test Coverage;ChatUnitTest
